ccle_name,row_id,pool_id,culture,depmap_id,screen
HS766T_PANCREAS,ACH-000178::P108::PR500A::REP1M,P108,PR500A,ACH-000178,REP1M
SW837_LARGE_INTESTINE,ACH-000421::P108::PR500A::REP1M,P108,PR500A,ACH-000421,REP1M
KURAMOCHI_OVARY,ACH-000524::P108::PR500A::REP1M,P108,PR500A,ACH-000524,REP1M
YH13_CENTRAL_NERVOUS_SYSTEM,ACH-000469::P108::PR500A::REP1M,P108,PR500A,ACH-000469,REP1M
HCC827_LUNG,ACH-000012::P107::PR500A::REP1M,P107,PR500A,ACH-000012,REP1M
NCIH2052_PLEURA,ACH-000153::P108::PR500A::REP1M,P108,PR500A,ACH-000153,REP1M
COLO679_SKIN,ACH-000805::P108::PR500A::REP1M,P108,PR500A,ACH-000805,REP1M
A704_KIDNEY,ACH-000429::P108::PR500A::REP1M,P108,PR500A,ACH-000429,REP1M
NCIH596_LUNG,ACH-000628::P115::PR500A::REP1M,P115,PR500A,ACH-000628,REP1M
KP3_PANCREAS,ACH-000108::P108::PR500A::REP1M,P108,PR500A,ACH-000108,REP1M
SKUT1_SOFT_TISSUE,ACH-000939::P108::PR500A::REP1M,P108,PR500A,ACH-000939,REP1M
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323::P102::PR500A::REP1M,P102,PR500A,ACH-000323,REP1M
A375_SKIN,ACH-000219::P102::PR500A::REP1M,P102,PR500A,ACH-000219,REP1M
FTC133_THYROID,ACH-000903::P102::PR500A::REP1M,P102,PR500A,ACH-000903,REP1M
HT1080_SOFT_TISSUE,ACH-000054::P102::PR500A::REP1M,P102,PR500A,ACH-000054,REP1M
GAMG_CENTRAL_NERVOUS_SYSTEM,ACH-000098::P111::PR500A::REP1M,P111,PR500A,ACH-000098,REP1M
SNU1077_ENDOMETRIUM,ACH-000302::P102::PR500A::REP1M,P102,PR500A,ACH-000302,REP1M
JHOC5_OVARY,ACH-000324::P102::PR500A::REP1M,P102,PR500A,ACH-000324,REP1M
NCIH1299_LUNG,ACH-000510::P102::PR500A::REP1M,P102,PR500A,ACH-000510,REP1M
PANC1_PANCREAS,ACH-000164::P106::PR500A::REP1M,P106,PR500A,ACH-000164,REP1M
SNU1076_UPPER_AERODIGESTIVE_TRACT,ACH-000549::P102::PR500A::REP1M,P102,PR500A,ACH-000549,REP1M
IGR37_SKIN,ACH-000650::P102::PR500A::REP1M,P102,PR500A,ACH-000650,REP1M
JHH6_LIVER,ACH-000217::P102::PR500A::REP1M,P102,PR500A,ACH-000217,REP1M
NCIH460_LUNG,ACH-000463::P102::PR500A::REP1M,P102,PR500A,ACH-000463,REP1M
SJSA1_BONE,ACH-000748::P102::PR500A::REP1M,P102,PR500A,ACH-000748,REP1M
A2058_SKIN,ACH-000788::P102::PR500A::REP1M,P102,PR500A,ACH-000788,REP1M
NCIH1437_LUNG,ACH-000589::P107::PR500A::REP1M,P107,PR500A,ACH-000589,REP1M
ACCMESO1_PLEURA,ACH-000086::P102::PR500A::REP1M,P102,PR500A,ACH-000086,REP1M
VMCUB1_URINARY_TRACT,ACH-000545::P102::PR500A::REP1M,P102,PR500A,ACH-000545,REP1M
YD38_UPPER_AERODIGESTIVE_TRACT,ACH-000762::P102::PR500A::REP1M,P102,PR500A,ACH-000762,REP1M
BFTC909_KIDNEY,ACH-000792::P102::PR500A::REP1M,P102,PR500A,ACH-000792,REP1M
DAOY_CENTRAL_NERVOUS_SYSTEM,ACH-000211::P102::PR500A::REP1M,P102,PR500A,ACH-000211,REP1M
EFO27_OVARY,ACH-000936::P102::PR500A::REP1M,P102,PR500A,ACH-000936,REP1M
IGR1_SKIN,ACH-000882::P102::PR500A::REP1M,P102,PR500A,ACH-000882,REP1M
LI7_LIVER,ACH-000471::P102::PR500A::REP1M,P102,PR500A,ACH-000471,REP1M
OVK18_OVARY,ACH-000947::P102::PR500A::REP1M,P102,PR500A,ACH-000947,REP1M
SBC5_LUNG,ACH-000670::P102::PR500A::REP1M,P102,PR500A,ACH-000670,REP1M
GB1_CENTRAL_NERVOUS_SYSTEM,ACH-000738::P107::PR500A::REP1M,P107,PR500A,ACH-000738,REP1M
TOV112D_OVARY,ACH-000048::P102::PR500A::REP1M,P102,PR500A,ACH-000048,REP1M
KELLY_AUTONOMIC_GANGLIA,ACH-000259::P103::PR500A::REP1M,P103,PR500A,ACH-000259,REP1M
PATU8902_PANCREAS,ACH-000599::P103::PR500A::REP1M,P103,PR500A,ACH-000599,REP1M
TT2609C02_THYROID,ACH-000716::P103::PR500A::REP1M,P103,PR500A,ACH-000716,REP1M
QGP1_PANCREAS,ACH-000347::P103::PR500A::REP1M,P103,PR500A,ACH-000347,REP1M
SW1710_URINARY_TRACT,ACH-000566::P103::PR500A::REP1M,P103,PR500A,ACH-000566,REP1M
BECKER_CENTRAL_NERVOUS_SYSTEM,ACH-001016::P103::PR500A::REP1M,P103,PR500A,ACH-001016,REP1M
NCIH520_LUNG,ACH-000395::P103::PR500A::REP1M,P103,PR500A,ACH-000395,REP1M
SNU685_ENDOMETRIUM,ACH-000407::P103::PR500A::REP1M,P103,PR500A,ACH-000407,REP1M
SW1353_BONE,ACH-000418::P103::PR500A::REP1M,P103,PR500A,ACH-000418,REP1M
NCIH322_LUNG,ACH-000837::P107::PR500A::REP1M,P107,PR500A,ACH-000837,REP1M
A101D_SKIN,ACH-000008::P103::PR500A::REP1M,P103,PR500A,ACH-000008,REP1M
BHT101_THYROID,ACH-000191::P103::PR500A::REP1M,P103,PR500A,ACH-000191,REP1M
HEC1B_ENDOMETRIUM,ACH-000941::P103::PR500A::REP1M,P103,PR500A,ACH-000941,REP1M
SNU61_LARGE_INTESTINE,ACH-000532::P103::PR500A::REP1M,P103,PR500A,ACH-000532,REP1M
SNU886_LIVER,ACH-000316::P103::PR500A::REP1M,P103,PR500A,ACH-000316,REP1M
SW1573_LUNG,ACH-000677::P103::PR500A::REP1M,P103,PR500A,ACH-000677,REP1M
G402_SOFT_TISSUE,ACH-000375::P103::PR500A::REP1M,P103,PR500A,ACH-000375,REP1M
PECAPJ15_UPPER_AERODIGESTIVE_TRACT,ACH-000619::P103::PR500A::REP1M,P103,PR500A,ACH-000619,REP1M
RL952_ENDOMETRIUM,ACH-000965::P103::PR500A::REP1M,P103,PR500A,ACH-000965,REP1M
CADOES1_BONE,ACH-000210::P103::PR500A::REP1M,P103,PR500A,ACH-000210,REP1M
SNUC2A_LARGE_INTESTINE,ACH-000967::P107::PR500A::REP1M,P107,PR500A,ACH-000967,REP1M
COLO668_LUNG,ACH-000803::P103::PR500A::REP1M,P103,PR500A,ACH-000803,REP1M
LS513_LARGE_INTESTINE,ACH-000007::P103::PR500A::REP1M,P103,PR500A,ACH-000007,REP1M
RMGI_OVARY,ACH-000719::P103::PR500A::REP1M,P103,PR500A,ACH-000719,REP1M
VMRCRCW_KIDNEY,ACH-000484::P103::PR500A::REP1M,P103,PR500A,ACH-000484,REP1M
CAKI1_KIDNEY,ACH-000433::P103::PR500A::REP1M,P103,PR500A,ACH-000433,REP1M
OV7_OVARY,ACH-000688::P103::PR500A::REP1M,P103,PR500A,ACH-000688,REP1M
BEN_LUNG,ACH-000603::P106::PR500A::REP1M,P106,PR500A,ACH-000603,REP1M
MKN1_STOMACH,ACH-000351::P106::PR500A::REP1M,P106,PR500A,ACH-000351,REP1M
LCLC103H_LUNG,ACH-000627::P106::PR500A::REP1M,P106,PR500A,ACH-000627,REP1M
NCIH1573_LUNG,ACH-000916::P106::PR500A::REP1M,P106,PR500A,ACH-000916,REP1M
CORL23_LUNG,ACH-000662::P107::PR500A::REP1M,P107,PR500A,ACH-000662,REP1M
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,ACH-000863::P106::PR500A::REP1M,P106,PR500A,ACH-000863,REP1M
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,ACH-000732::P106::PR500A::REP1M,P106,PR500A,ACH-000732,REP1M
HCC4006_LUNG,ACH-000066::P106::PR500A::REP1M,P106,PR500A,ACH-000066,REP1M
NCIH1581_LUNG,ACH-000015::P106::PR500A::REP1M,P106,PR500A,ACH-000015,REP1M
CALU1_LUNG,ACH-000511::P106::PR500A::REP1M,P106,PR500A,ACH-000511,REP1M
NUGC4_STOMACH,ACH-000674::P106::PR500A::REP1M,P106,PR500A,ACH-000674,REP1M
NCIH1563_LUNG,ACH-000892::P106::PR500A::REP1M,P106,PR500A,ACH-000892,REP1M
JHUEM2_ENDOMETRIUM,ACH-000909::P106::PR500A::REP1M,P106,PR500A,ACH-000909,REP1M
JHOM1_OVARY,ACH-000237::P116::PR500A::REP1M,P116,PR500A,ACH-000237,REP1M
SKOV3_OVARY,ACH-000811::P106::PR500A::REP1M,P106,PR500A,ACH-000811,REP1M
SNU761_LIVER,ACH-000537::P107::PR500A::REP1M,P107,PR500A,ACH-000537,REP1M
SKNBE2_AUTONOMIC_GANGLIA,ACH-000312::P106::PR500A::REP1M,P106,PR500A,ACH-000312,REP1M
LUDLU1_LUNG,ACH-000390::P106::PR500A::REP1M,P106,PR500A,ACH-000390,REP1M
HCC1359_LUNG,ACH-000901::P106::PR500A::REP1M,P106,PR500A,ACH-000901,REP1M
PK1_PANCREAS,ACH-000307::P106::PR500A::REP1M,P106,PR500A,ACH-000307,REP1M
SNU466_CENTRAL_NERVOUS_SYSTEM,ACH-000289::P116::PR500A::REP1M,P116,PR500A,ACH-000289,REP1M
SKLU1_LUNG,ACH-000309::P106::PR500A::REP1M,P106,PR500A,ACH-000309,REP1M
NCIH1838_LUNG,ACH-000733::P106::PR500A::REP1M,P106,PR500A,ACH-000733,REP1M
SNU245_BILIARY_TRACT,ACH-000268::P106::PR500A::REP1M,P106,PR500A,ACH-000268,REP1M
MKN74_STOMACH,ACH-000758::P106::PR500A::REP1M,P106,PR500A,ACH-000758,REP1M
KYSE180_OESOPHAGUS,ACH-000693::P106::PR500A::REP1M,P106,PR500A,ACH-000693,REP1M
8505C_THYROID,ACH-001307::P107::PR500A::REP1M,P107,PR500A,ACH-001307,REP1M
NCIN87_STOMACH,ACH-000427::P107::PR500A::REP1M,P107,PR500A,ACH-000427,REP1M
KMRC1_KIDNEY,ACH-000684::P106::PR500A::REP1M,P106,PR500A,ACH-000684,REP1M
CALU6_LUNG,ACH-000264::P113::PR500A::REP1M,P113,PR500A,ACH-000264,REP1M
GOS3_CENTRAL_NERVOUS_SYSTEM,ACH-000027::P114::PR500A::REP1M,P114,PR500A,ACH-000027,REP1M
HUH6_LIVER,ACH-000671::P114::PR500A::REP1M,P114,PR500A,ACH-000671,REP1M
PK59_PANCREAS,ACH-000205::P114::PR500A::REP1M,P114,PR500A,ACH-000205,REP1M
TCCSUP_URINARY_TRACT,ACH-000720::P114::PR500A::REP1M,P114,PR500A,ACH-000720,REP1M
HS939T_SKIN,ACH-000814::P114::PR500A::REP1M,P114,PR500A,ACH-000814,REP1M
TOV21G_OVARY,ACH-000885::P114::PR500A::REP1M,P114,PR500A,ACH-000885,REP1M
OVTOKO_OVARY,ACH-000663::P114::PR500A::REP1M,P114,PR500A,ACH-000663,REP1M
TE1_OESOPHAGUS,ACH-000647::P114::PR500A::REP1M,P114,PR500A,ACH-000647,REP1M
RERFLCAD2_LUNG,ACH-000774::P109::PR500A::REP1M,P109,PR500A,ACH-000774,REP1M
DANG_PANCREAS,ACH-000243::P114::PR500A::REP1M,P114,PR500A,ACH-000243,REP1M
LMSU_STOMACH,ACH-000255::P114::PR500A::REP1M,P114,PR500A,ACH-000255,REP1M
MSTO211H_PLEURA,ACH-000335::P114::PR500A::REP1M,P114,PR500A,ACH-000335,REP1M
T47D_BREAST,ACH-000147::P114::PR500A::REP1M,P114,PR500A,ACH-000147,REP1M
PC3_PROSTATE,ACH-000090::P113::PR500A::REP1M,P113,PR500A,ACH-000090,REP1M
VMRCRCZ_KIDNEY,ACH-000171::P114::PR500A::REP1M,P114,PR500A,ACH-000171,REP1M
RVH421_SKIN,ACH-000614::P114::PR500A::REP1M,P114,PR500A,ACH-000614,REP1M
JHOS2_OVARY,ACH-000132::P114::PR500A::REP1M,P114,PR500A,ACH-000132,REP1M
HS852T_SKIN,ACH-000274::P114::PR500A::REP1M,P114,PR500A,ACH-000274,REP1M
HCC1806_BREAST,ACH-000624::P115::PR500A::REP1M,P115,PR500A,ACH-000624,REP1M
SKMEL30_SKIN,ACH-000810::P114::PR500A::REP1M,P114,PR500A,ACH-000810,REP1M
NCIH522_LUNG,ACH-000343::P114::PR500A::REP1M,P114,PR500A,ACH-000343,REP1M
PATU8988S_PANCREAS,ACH-000022::P114::PR500A::REP1M,P114,PR500A,ACH-000022,REP1M
MFE280_ENDOMETRIUM,ACH-000192::P114::PR500A::REP1M,P114,PR500A,ACH-000192,REP1M
SNUC4_LARGE_INTESTINE,ACH-000959::P114::PR500A::REP1M,P114,PR500A,ACH-000959,REP1M
KYSE520_OESOPHAGUS,ACH-000637::P115::PR500A::REP1M,P115,PR500A,ACH-000637,REP1M
COLO792_SKIN,ACH-000968::P115::PR500A::REP1M,P115,PR500A,ACH-000968,REP1M
SW1990_PANCREAS,ACH-000155::P115::PR500A::REP1M,P115,PR500A,ACH-000155,REP1M
NCIH1793_LUNG,ACH-000888::P107::PR500A::REP1M,P107,PR500A,ACH-000888,REP1M
HS729_SOFT_TISSUE,ACH-000133::P115::PR500A::REP1M,P115,PR500A,ACH-000133,REP1M
TE6_OESOPHAGUS,ACH-000605::P115::PR500A::REP1M,P115,PR500A,ACH-000605,REP1M
NCIH727_LUNG,ACH-000775::P115::PR500A::REP1M,P115,PR500A,ACH-000775,REP1M
PANC0203_PANCREAS,ACH-000042::P115::PR500A::REP1M,P115,PR500A,ACH-000042,REP1M
NCIH358_LUNG,ACH-000860::P115::PR500A::REP1M,P115,PR500A,ACH-000860,REP1M
HEC59_ENDOMETRIUM,ACH-000994::P115::PR500A::REP1M,P115,PR500A,ACH-000994,REP1M
HCC1419_BREAST,ACH-000277::P115::PR500A::REP1M,P115,PR500A,ACH-000277,REP1M
NCIH1792_LUNG,ACH-000496::P115::PR500A::REP1M,P115,PR500A,ACH-000496,REP1M
NCIH1048_LUNG,ACH-000866::P115::PR500A::REP1M,P115,PR500A,ACH-000866,REP1M
NCIH1568_LUNG,ACH-000869::P115::PR500A::REP1M,P115,PR500A,ACH-000869,REP1M
MESSA_SOFT_TISSUE,ACH-000449::P107::PR500A::REP1M,P107,PR500A,ACH-000449,REP1M
EFM192A_BREAST,ACH-000117::P115::PR500A::REP1M,P115,PR500A,ACH-000117,REP1M
MKN7_STOMACH,ACH-000678::P115::PR500A::REP1M,P115,PR500A,ACH-000678,REP1M
SNU423_LIVER,ACH-000493::P115::PR500A::REP1M,P115,PR500A,ACH-000493,REP1M
PK45H_PANCREAS,ACH-000468::P115::PR500A::REP1M,P115,PR500A,ACH-000468,REP1M
ZR751_BREAST,ACH-000097::P115::PR500A::REP1M,P115,PR500A,ACH-000097,REP1M
KMRC3_KIDNEY,ACH-000313::P115::PR500A::REP1M,P115,PR500A,ACH-000313,REP1M
RD_SOFT_TISSUE,ACH-000169::P115::PR500A::REP1M,P115,PR500A,ACH-000169,REP1M
NCIH2077_LUNG,ACH-000010::P118::PR500A::REP1M,P118,PR500A,ACH-000010,REP1M
CL34_LARGE_INTESTINE,ACH-000895::P115::PR500A::REP1M,P115,PR500A,ACH-000895,REP1M
NCIH2087_LUNG,ACH-000841::P115::PR500A::REP1M,P115,PR500A,ACH-000841,REP1M
NCIH1975_LUNG,ACH-000587::P107::PR500A::REP1M,P107,PR500A,ACH-000587,REP1M
NCIH1944_LUNG,ACH-000414::P115::PR500A::REP1M,P115,PR500A,ACH-000414,REP1M
253JBV_URINARY_TRACT,ACH-000026::P104::PR500A::REP1M,P104,PR500A,ACH-000026,REP1M
786O_KIDNEY,ACH-000649::P104::PR500A::REP1M,P104,PR500A,ACH-000649,REP1M
IGROV1_OVARY,ACH-000966::P104::PR500A::REP1M,P104,PR500A,ACH-000966,REP1M
LOVO_LARGE_INTESTINE,ACH-000950::P109::PR500A::REP1M,P109,PR500A,ACH-000950,REP1M
LOXIMVI_SKIN,ACH-000750::P104::PR500A::REP1M,P104,PR500A,ACH-000750,REP1M
SW48_LARGE_INTESTINE,ACH-000958::P109::PR500A::REP1M,P109,PR500A,ACH-000958,REP1M
HPAC_PANCREAS,ACH-000270::P104::PR500A::REP1M,P104,PR500A,ACH-000270,REP1M
BXPC3_PANCREAS,ACH-000535::P104::PR500A::REP1M,P104,PR500A,ACH-000535,REP1M
HUH7_LIVER,ACH-000480::P109::PR500A::REP1M,P109,PR500A,ACH-000480,REP1M
MFE296_ENDOMETRIUM,ACH-000879::P105::PR500A::REP1M,P105,PR500A,ACH-000879,REP1M
KP2_PANCREAS,ACH-000281::P109::PR500A::REP1M,P109,PR500A,ACH-000281,REP1M
FTC238_THYROID,ACH-000897::P104::PR500A::REP1M,P104,PR500A,ACH-000897,REP1M
H4_CENTRAL_NERVOUS_SYSTEM,ACH-000389::P104::PR500A::REP1M,P104,PR500A,ACH-000389,REP1M
KMBC2_URINARY_TRACT,ACH-000862::P104::PR500A::REP1M,P104,PR500A,ACH-000862,REP1M
ONS76_CENTRAL_NERVOUS_SYSTEM,ACH-000776::P104::PR500A::REP1M,P104,PR500A,ACH-000776,REP1M
PATU8988T_PANCREAS,ACH-000023::P104::PR500A::REP1M,P104,PR500A,ACH-000023,REP1M
253J_URINARY_TRACT,ACH-000011::P104::PR500A::REP1M,P104,PR500A,ACH-000011,REP1M
639V_URINARY_TRACT,ACH-000973::P104::PR500A::REP1M,P104,PR500A,ACH-000973,REP1M
CHL1_SKIN,ACH-001024::P104::PR500A::REP1M,P104,PR500A,ACH-001024,REP1M
HCT116_LARGE_INTESTINE,ACH-000971::P104::PR500A::REP1M,P104,PR500A,ACH-000971,REP1M
KYSE270_OESOPHAGUS,ACH-000873::P105::PR500A::REP1M,P105,PR500A,ACH-000873,REP1M
KU1919_URINARY_TRACT,ACH-000486::P104::PR500A::REP1M,P104,PR500A,ACH-000486,REP1M
HCT15_LARGE_INTESTINE,ACH-000997::P104::PR500A::REP1M,P104,PR500A,ACH-000997,REP1M
HT29_LARGE_INTESTINE,ACH-000552::P104::PR500A::REP1M,P104,PR500A,ACH-000552,REP1M
MCAS_OVARY,ACH-000796::P104::PR500A::REP1M,P104,PR500A,ACH-000796,REP1M
SUIT2_PANCREAS,ACH-000652::P104::PR500A::REP1M,P104,PR500A,ACH-000652,REP1M
TE8_OESOPHAGUS,ACH-000452::P104::PR500A::REP1M,P104,PR500A,ACH-000452,REP1M
CJM_SKIN,ACH-000458::P109::PR500A::REP1M,P109,PR500A,ACH-000458,REP1M
SNU398_LIVER,ACH-000221::P109::PR500A::REP1M,P109,PR500A,ACH-000221,REP1M
NCIH1651_LUNG,ACH-000893::P109::PR500A::REP1M,P109,PR500A,ACH-000893,REP1M
KYSE150_OESOPHAGUS,ACH-000855::P105::PR500A::REP1M,P105,PR500A,ACH-000855,REP1M
HCC78_LUNG,ACH-000562::P109::PR500A::REP1M,P109,PR500A,ACH-000562,REP1M
LK2_LUNG,ACH-000769::P116::PR500A::REP1M,P116,PR500A,ACH-000769,REP1M
SW780_URINARY_TRACT,ACH-000384::P109::PR500A::REP1M,P109,PR500A,ACH-000384,REP1M
TE4_OESOPHAGUS,ACH-000917::P104::PR500A::REP1M,P104,PR500A,ACH-000917,REP1M
RKN_SOFT_TISSUE,ACH-000505::P109::PR500A::REP1M,P109,PR500A,ACH-000505,REP1M
WM983B_SKIN,ACH-000765::P116::PR500A::REP1M,P116,PR500A,ACH-000765,REP1M
KNS62_LUNG,ACH-000858::P109::PR500A::REP1M,P109,PR500A,ACH-000858,REP1M
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595::P109::PR500A::REP1M,P109,PR500A,ACH-000595,REP1M
A673_BONE,ACH-000052::P109::PR500A::REP1M,P109,PR500A,ACH-000052,REP1M
DU145_PROSTATE,ACH-000979::P109::PR500A::REP1M,P109,PR500A,ACH-000979,REP1M
PSN1_PANCREAS,ACH-000320::P105::PR500A::REP1M,P105,PR500A,ACH-000320,REP1M
T98G_CENTRAL_NERVOUS_SYSTEM,ACH-000571::P109::PR500A::REP1M,P109,PR500A,ACH-000571,REP1M
COLO783_SKIN,ACH-000812::P109::PR500A::REP1M,P109,PR500A,ACH-000812,REP1M
HCC1438_LUNG,ACH-000891::P109::PR500A::REP1M,P109,PR500A,ACH-000891,REP1M
HCC44_LUNG,ACH-000667::P104::PR500A::REP1M,P104,PR500A,ACH-000667,REP1M
JHH5_LIVER,ACH-000734::P109::PR500A::REP1M,P109,PR500A,ACH-000734,REP1M
NCIH838_LUNG,ACH-000416::P104::PR500A::REP1M,P104,PR500A,ACH-000416,REP1M
BFTC905_URINARY_TRACT,ACH-000802::P109::PR500A::REP1M,P109,PR500A,ACH-000802,REP1M
HEC265_ENDOMETRIUM,ACH-000946::P109::PR500A::REP1M,P109,PR500A,ACH-000946,REP1M
HSC2_UPPER_AERODIGESTIVE_TRACT,ACH-000472::P109::PR500A::REP1M,P109,PR500A,ACH-000472,REP1M
OC314_OVARY,ACH-000962::P109::PR500A::REP1M,P109,PR500A,ACH-000962,REP1M
GI1_CENTRAL_NERVOUS_SYSTEM,ACH-000756::P111::PR500A::REP1M,P111,PR500A,ACH-000756,REP1M
OC316_OVARY,ACH-001145::P105::PR500A::REP1M,P105,PR500A,ACH-001145,REP1M
OE33_OESOPHAGUS,ACH-000383::P109::PR500A::REP1M,P109,PR500A,ACH-000383,REP1M
FADU_UPPER_AERODIGESTIVE_TRACT,ACH-000846::P105::PR500A::REP1M,P105,PR500A,ACH-000846,REP1M
MG63_BONE,ACH-000359::P105::PR500A::REP1M,P105,PR500A,ACH-000359,REP1M
NB1_AUTONOMIC_GANGLIA,ACH-000804::P105::PR500A::REP1M,P105,PR500A,ACH-000804,REP1M
SF126_CENTRAL_NERVOUS_SYSTEM,ACH-000609::P105::PR500A::REP1M,P105,PR500A,ACH-000609,REP1M
SNU1066_UPPER_AERODIGESTIVE_TRACT,ACH-000682::P105::PR500A::REP1M,P105,PR500A,ACH-000682,REP1M
CAL120_BREAST,ACH-000212::P110::PR500A::REP1M,P110,PR500A,ACH-000212,REP1M
LXF289_LUNG,ACH-000787::P110::PR500A::REP1M,P110,PR500A,ACH-000787,REP1M
MEWO_SKIN,ACH-000987::P110::PR500A::REP1M,P110,PR500A,ACH-000987,REP1M
SNGM_ENDOMETRIUM,ACH-000974::P110::PR500A::REP1M,P110,PR500A,ACH-000974,REP1M
CAL27_UPPER_AERODIGESTIVE_TRACT,ACH-000832::P105::PR500A::REP1M,P105,PR500A,ACH-000832,REP1M
TT_OESOPHAGUS,ACH-000561::P110::PR500A::REP1M,P110,PR500A,ACH-000561,REP1M
ECGI10_OESOPHAGUS,ACH-000305::P110::PR500A::REP1M,P110,PR500A,ACH-000305,REP1M
JMSU1_URINARY_TRACT,ACH-000753::P110::PR500A::REP1M,P110,PR500A,ACH-000753,REP1M
CFPAC1_PANCREAS,ACH-000138::P110::PR500A::REP1M,P110,PR500A,ACH-000138,REP1M
ACHN_KIDNEY,ACH-000046::P110::PR500A::REP1M,P110,PR500A,ACH-000046,REP1M
CAL51_BREAST,ACH-000856::P110::PR500A::REP1M,P110,PR500A,ACH-000856,REP1M
HCC15_LUNG,ACH-000878::P110::PR500A::REP1M,P110,PR500A,ACH-000878,REP1M
KMRC20_KIDNEY,ACH-000250::P110::PR500A::REP1M,P110,PR500A,ACH-000250,REP1M
A172_CENTRAL_NERVOUS_SYSTEM,ACH-000558::P105::PR500A::REP1M,P105,PR500A,ACH-000558,REP1M
NCIH1648_LUNG,ACH-000766::P110::PR500A::REP1M,P110,PR500A,ACH-000766,REP1M
K029AX_SKIN,ACH-000404::P112::PR500A::REP1M,P112,PR500A,ACH-000404,REP1M
T3M10_LUNG,ACH-000813::P112::PR500A::REP1M,P112,PR500A,ACH-000813,REP1M
NCIH2122_LUNG,ACH-000311::P114::PR500A::REP1M,P114,PR500A,ACH-000311,REP1M
HCC95_LUNG,ACH-000454::P112::PR500A::REP1M,P112,PR500A,ACH-000454,REP1M
TE11_OESOPHAGUS,ACH-000488::P105::PR500A::REP1M,P105,PR500A,ACH-000488,REP1M
MDAMB468_BREAST,ACH-000849::P112::PR500A::REP1M,P112,PR500A,ACH-000849,REP1M
HCC1195_LUNG,ACH-000868::P112::PR500A::REP1M,P112,PR500A,ACH-000868,REP1M
EN_ENDOMETRIUM,ACH-000978::P112::PR500A::REP1M,P112,PR500A,ACH-000978,REP1M
TE5_OESOPHAGUS,ACH-000408::P112::PR500A::REP1M,P112,PR500A,ACH-000408,REP1M
SNU668_STOMACH,ACH-000344::P112::PR500A::REP1M,P112,PR500A,ACH-000344,REP1M
CORL105_LUNG,ACH-000161::P112::PR500A::REP1M,P112,PR500A,ACH-000161,REP1M
GCT_SOFT_TISSUE,ACH-000835::P112::PR500A::REP1M,P112,PR500A,ACH-000835,REP1M
LN18_CENTRAL_NERVOUS_SYSTEM,ACH-000819::P112::PR500A::REP1M,P112,PR500A,ACH-000819,REP1M
RERFLCMS_LUNG,ACH-000062::P112::PR500A::REP1M,P112,PR500A,ACH-000062,REP1M
RT112_URINARY_TRACT,ACH-000473::P112::PR500A::REP1M,P112,PR500A,ACH-000473,REP1M
BC3C_URINARY_TRACT,ACH-000593::P105::PR500A::REP1M,P105,PR500A,ACH-000593,REP1M
LOUNH91_LUNG,ACH-000176::P112::PR500A::REP1M,P112,PR500A,ACH-000176,REP1M
