screen,dose,repurposing_target,MOA,IDs,Drug.Name,Synonyms
REP.PRIMARY,2.5,GRM1,GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-A05729358-001-02-0,CPCCOET,CPCCOET
REP.PRIMARY,2.5,,SODIUM CHANNEL BLOCKER,BRD:BRD-A05906449-004-01-1,LAPPACONITE,LAPPACONITE
REP.PRIMARY,2.5,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, KCNH1, KCNH2",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-A06352418-001-25-9,TERFENADINE,TERFENADINE
REP.PRIMARY,2.5,CHEK1,CHK INHIBITOR,BRD:BRD-A06352508-001-03-7,SB-218078,SB-218078
REP.PRIMARY,2.5,,ANTIARRHYTHMIC,BRD:BRD-A06390036-001-04-6,HYDROQUINIDINE,HYDROQUINIDINE
REP.PRIMARY,2.5,,ANTIPROTOZOAL AGENT,BRD:BRD-A06426627-001-03-5,DICLAZURIL,DICLAZURIL
REP.PRIMARY,2.5,,BACTERIAL PERMEABILITY INDUCER,BRD:BRD-A06627858-236-03-0,MONENSIN,MONENSIN
REP.PRIMARY,2.5,"CHRM1, CHRM2, CHRM3",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A06771424-004-01-7,ANISOTROPINE,ANISOTROPINE
REP.PRIMARY,2.5,PDHA1,PYRUVATE DEHYDROGENASE INHIBITOR,BRD:BRD-A06916187-001-02-9,CPI-613,CPI-613
REP.PRIMARY,2.5,,BACTERIAL 30S RIBOSOMAL SUBUNIT INHIBITOR,BRD:BRD-A06935312-001-04-3,FUSIDIC-ACID,FUSIDIC-ACID
REP.PRIMARY,2.5,,,BRD:BRD-A07000685-001-04-4,HYDROCORTISONE-HEMISUCCINATE,HYDROCORTISONE-HEMISUCCINATE
REP.PRIMARY,2.5,,,BRD:BRD-A07164067-001-01-2,MELUADRINE,MELUADRINE
REP.PRIMARY,2.5,"PDE3A, PDE4A, PDE4B, PDE4C, PDE4D",PHOSPHODIESTERASE INHIBITOR,BRD:BRD-A07207424-001-13-2,RO-20-1724,RO-20-1724
REP.PRIMARY,2.5,"MTNR1A, MTNR1B",MELATONIN RECEPTOR AGONIST,BRD:BRD-A07232941-001-02-7,8-M-PDOT,8-M-PDOT
REP.PRIMARY,2.5,ADRB1,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A07395371-003-10-0,ESMOLOL,ESMOLOL
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A07440155-003-25-4,LABETALOL,LABETALOL
REP.PRIMARY,2.5,"ADRB1, ADRB2, ADRB3, HTR1A, HTR1B",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A07563059-035-01-3,BOPINDOLOL,BOPINDOLOL
REP.PRIMARY,2.5,,BACTERIAL 50S RIBOSOMAL SUBUNIT INHIBITOR,BRD:BRD-A07600638-060-05-2,MECLOCYCLINE-SULFOSALICYLATE,MECLOCYCLINE-SULFOSALICYLATE
REP.PRIMARY,2.5,,DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-A07704283-001-01-3,ISOFLOXYTHEPIN,ISOFLOXYTHEPIN
REP.PRIMARY,2.5,ADRB2,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A07780951-001-08-9,METAPROTERENOL,METAPROTERENOL
REP.PRIMARY,2.5,ADRB2,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A07780951-065-10-0,METAPROTERENOL,METAPROTERENOL
REP.PRIMARY,2.5,,"GABA RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",BRD:BRD-A07815743-001-01-1,KAKONEIN,KAKONEIN
REP.PRIMARY,2.5,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, KCNN1",GABA RECEPTOR ANTAGONIST,BRD:BRD-A07870296-001-07-4,BICUCULLINE-(+),BICUCULLINE-(+)
REP.PRIMARY,2.5,"ABAT, GABBR1, SLC32A1",GABA AMINOTRANSFERASE INHIBITOR,BRD:BRD-A07893380-213-01-7,VIGABATRIN,VIGABATRIN
REP.PRIMARY,2.5,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7",ANTI-HCVE2,BRD:BRD-A07932845-050-15-8,METITEPINE,METITEPINE
REP.PRIMARY,2.5,,ANTIPROTOZOAL AGENT,BRD:BRD-A07947329-001-01-4,BUPARVAQUONE,BUPARVAQUONE
REP.PRIMARY,2.5,"AR, CYP17A1",ANDROGEN RECEPTOR MODULATOR,BRD:BRD-A07986123-001-02-8,GALETERONE,GALETERONE
REP.PRIMARY,2.5,,,BRD:BRD-A08079565-001-01-8,CDBA,CDBA
REP.PRIMARY,2.5,MME,ENKEPHALINASE INHIBITOR,BRD:BRD-A08187463-001-12-9,RACECADOTRIL,RACECADOTRIL
REP.PRIMARY,2.5,,CYCLOOXYGENASE INHIBITOR,BRD:BRD-A08255417-001-14-7,FAMPROFAZONE,FAMPROFAZONE
REP.PRIMARY,2.5,"ESR1, PGR",PROGESTERONE RECEPTOR AGONIST,BRD:BRD-A08302182-001-01-7,ETONOGESTREL,ETONOGESTREL
REP.PRIMARY,2.5,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-003-07-8,DOXYCYCLINE,DOXYCYCLINE
REP.PRIMARY,2.5,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-003-08-6,DOXYCYCLINE,DOXYCYCLINE
REP.PRIMARY,2.5,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-311-01-8,DOXYCYCLINE,DOXYCYCLINE
REP.PRIMARY,2.5,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-311-03-4,DOXYCYCLINE,DOXYCYCLINE
REP.PRIMARY,2.5,,RADIOPAQUE MEDIUM,BRD:BRD-A08660406-001-05-9,IODIXANOL,IODIXANOL
REP.PRIMARY,2.5,,GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-A08715367-001-01-7,L-THEANINE,L-THEANINE
REP.PRIMARY,2.5,MAPK3,MAP KINASE PHOSPHATASE INHIBITOR,BRD:BRD-A08840375-001-01-3,CID-5458317,CID-5458317
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, KCNH2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A09056319-003-07-7,ALFUZOSIN,ALFUZOSIN
REP.PRIMARY,2.5,,LOCAL ANESTHETIC,BRD:BRD-A09062839-003-10-0,AMYLEINE,AMYLEINE
REP.PRIMARY,2.5,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA1, GLRA2, GLRA3, GLRB",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A09094913-065-01-0,STRYCHNINE,STRYCHNINE
REP.PRIMARY,2.5,,PROGESTERONE RECEPTOR AGONIST,BRD:BRD-A09349126-001-10-7,NORETHINDRONE-ACETATE,NORETHINDRONE-ACETATE
REP.PRIMARY,2.5,,RADIOPAQUE MEDIUM,BRD:BRD-A09370961-001-01-0,IOXILAN,IOXILAN
REP.PRIMARY,2.5,CHRM1,ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A09467419-003-22-4,MEBEVERINE,MEBEVERINE
REP.PRIMARY,2.5,"KCNA5, KCNA7, SCN4A, SCN5A",SODIUM CHANNEL BLOCKER,BRD:BRD-A09472452-015-23-4,FLECAINIDE,FLECAINIDE
REP.PRIMARY,2.5,"CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CYP3A4, KCNA10, KCNA7, KCNH2, KCNJ11, NALCN, SCN5A, SLC29A4, SLC6A4",CALCIUM CHANNEL BLOCKER,BRD:BRD-A09533288-003-31-2,VERAPAMIL,VERAPAMIL
REP.PRIMARY,2.5,,PKA ACTIVATOR,BRD:BRD-A09554849-236-07-6,8-BROMO-CAMP,8-BROMO-CAMP
REP.PRIMARY,2.5,"CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP3A7",DNA ALKYLATING AGENT,BRD:BRD-A09722536-002-18-0,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE
REP.PRIMARY,2.5,"CMA1, CTSA, CTSF, CTSK, CTSL, CTSS",HCV INHIBITOR,BRD:BRD-A09735281-001-02-5,BOCEPREVIR,BOCEPREVIR
REP.PRIMARY,2.5,"DRD1, DRD5",DOPAMINE RECEPTOR AGONIST,BRD:BRD-A09828896-004-11-0,SKF-81297,SKF-81297
REP.PRIMARY,2.5,"ADRA1A, ADRB1",ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A09925278-003-05-6,ETILEFRINE,ETILEFRINE
REP.PRIMARY,2.5,,HIV PROTEASE INHIBITOR,BRD:BRD-A10039652-001-01-2,TIPRANAVIR,TIPRANAVIR
REP.PRIMARY,2.5,"ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A10070317-003-28-3,PROPRANOLOL,PROPRANOLOL
REP.PRIMARY,2.5,"ACSL1, ACSS1, ACSS2, ADCY1, ADK, CREB1, FBP1, HINT1, PDE4B, PDE4D, PIM1, PRKAA1, PRKAB1, PRKAB2, PYGL, TRPM4",ADENOSINE RECEPTOR AGONIST,BRD:BRD-A10111329-001-04-6,ADENOSINE-PHOSPHATE,ADENOSINE-PHOSPHATE
REP.PRIMARY,2.5,ATP2A1,ATPASE INHIBITOR,BRD:BRD-A10420615-001-04-4,CYCLOPIAZONIC-ACID,CYCLOPIAZONIC-ACID
REP.PRIMARY,2.5,ROCK1,RHO ASSOCIATED KINASE INHIBITOR,BRD:BRD-A10523515-001-07-9,GSK429286A,GSK429286A
REP.PRIMARY,2.5,,BACTERIAL CELL WALL SYNTHESIS INHIBITOR,BRD:BRD-A10652366-238-04-1,FOSFOMYCIN,FOSFOMYCIN
REP.PRIMARY,2.5,"CALM1, MYLK2",CALCIUM CHANNEL BLOCKER,BRD:BRD-A10662413-043-11-2,PRENYLAMINE,PRENYLAMINE
REP.PRIMARY,2.5,ADORA2A,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A10739734-003-10-6,EFAROXAN,EFAROXAN
REP.PRIMARY,2.5,"ADRA2A, ADRA2B",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A10903566-003-07-7,IMILOXAN,IMILOXAN
REP.PRIMARY,2.5,HTR3A,SEROTONIN RECEPTOR ANTAGONIST,BRD:BRD-A10967948-003-06-3,GRANISETRON,GRANISETRON
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, GJA1, HIF1A, KCNH2, NDUFC2, NPPB, SELE, VCAM1, VEGFA",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A10977446-001-12-1,CARVEDILOL,CARVEDILOL
REP.PRIMARY,2.5,,,BRD:BRD-A11070335-236-02-1,CARBAZOCHROME,CARBAZOCHROME
REP.PRIMARY,2.5,"AHCY, AKR1A1, ALDH2, BLVRA, DHPS, DLD, GALE, HMGCR, HSD17B1, HSD17B4, IMPDH2, MGAM, P2RY11, SORD, TRPM2",ELECTRON ACCEPTOR,BRD:BRD-A11132253-001-08-2,NADIDE,NADIDE
REP.PRIMARY,2.5,,,BRD:BRD-A11551002-001-04-6,DEHYDROCHOLATE-ACID,DEHYDROCHOLATE-ACID
REP.PRIMARY,2.5,,,BRD:BRD-A11662333-001-03-3,MEPARFYLON,MEPARFYLON
REP.PRIMARY,2.5,,,BRD:BRD-A11731518-001-01-7,BAY-85-8050,BAY-85-8050
REP.PRIMARY,2.5,"CYP19A1, CYP1A2, CYP2B6, CYP2C9, CYP2J2, CYP3A4, CYP3A5, NR1I2, PPARA, PTGER2",STEROL DEMETHYLASE INHIBITOR,BRD:BRD-A11776908-065-01-5,ENILCONAZOLE,ENILCONAZOLE
REP.PRIMARY,2.5,GRIN1,POTASSIUM CHANNEL BLOCKER,BRD:BRD-A11813248-003-02-4,AM-92016,AM-92016
REP.PRIMARY,2.5,,,BRD:BRD-A11815689-001-01-1,PROSCILLARIDIN-A,PROSCILLARIDIN-A
REP.PRIMARY,2.5,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO",BENZODIAZEPINE RECEPTOR AGONIST,BRD:BRD-A11990600-001-03-4,LORAZEPAM,LORAZEPAM
REP.PRIMARY,2.5,,BACTERIAL CELL WALL SYNTHESIS INHIBITOR,BRD:BRD-A12077521-003-01-5,CEFEPIME,CEFEPIME
REP.PRIMARY,2.5,"MDM2, TP53",MDM INHIBITOR,BRD:BRD-A12230535-001-06-7,NUTLIN-3,NUTLIN-3
REP.PRIMARY,2.5,"ASS1, DDAH1, DDAH2, GPRC6A, NOS1, NOS2, NOS3, OTC, PADI1, PADI2, PADI3, PADI4, PADI6",NITRIC OXIDE STIMULANT,BRD:BRD-A12237696-001-04-2,L-CITRULLINE,L-CITRULLINE
REP.PRIMARY,2.5,PTPN1,MAP KINASE ACTIVATOR,BRD:BRD-A12417644-001-07-6,USNIACIN-(+),USNIACIN-(+)
REP.PRIMARY,2.5,,,BRD:BRD-A12454076-001-01-9,L-HYDROXYPROLINE,L-HYDROXYPROLINE
REP.PRIMARY,2.5,"HTR2A, HTR3A, HTR4, KCNH2",SEROTONIN RECEPTOR AGONIST,BRD:BRD-A12896037-001-04-3,CISAPRIDE,CISAPRIDE
REP.PRIMARY,2.5,"CRBN, PTGS2, TNF","ANGIOGENESIS INHIBITOR, TUMOR NECROSIS FACTOR PRODUCTION INHIBITOR",BRD:BRD-A12994259-001-02-1,POMALIDOMIDE,POMALIDOMIDE
REP.PRIMARY,2.5,"ACSL4, CYP2C8, ESRRA, ESRRG, PPARG, SERPINE1, SLC29A1, TRPM3","INSULIN SENSITIZER, PPAR RECEPTOR AGONIST",BRD:BRD-A13084692-001-17-3,TROGLITAZONE,TROGLITAZONE
REP.PRIMARY,2.5,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,BRD:BRD-A13133631-001-04-0,FLUOROMETHOLONE,FLUOROMETHOLONE
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, KCNH2, KCNH6, KCNH7",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A13188892-066-21-5,DOXAZOSIN,DOXAZOSIN
REP.PRIMARY,2.5,FNTA,"APOPTOSIS STIMULANT, FARNESYLTRANSFERASE INHIBITOR",BRD:BRD-A13323580-001-04-8,PERILLYL-ALCOHOL,PERILLYL-ALCOHOL
REP.PRIMARY,2.5,"ARG1, ARG2, GATM, GPRC6A, OAT, OAZ1, OAZ2, OAZ3, OTC, SLC25A15, SLC25A2, SLC7A1, SLC7A2, SLC7A3, SLC7A4",NFKB PATHWAY MODULATOR,BRD:BRD-A13561534-003-02-0,ORNITHINE,ORNITHINE
REP.PRIMARY,2.5,ADORA1,ADENOSINE RECEPTOR AGONIST,BRD:BRD-A13598753-001-01-2,5'-CHLORO-5'-DEOXY-ENBA-(+/-),5'-CHLORO-5'-DEOXY-ENBA-(+/-)
REP.PRIMARY,2.5,"AKR1B1, MAPK3, PPARD, PTGDR2, PTGS1, PTGS2",CYCLOOXYGENASE INHIBITOR,BRD:BRD-A13946108-001-17-1,SULINDAC,SULINDAC
REP.PRIMARY,2.5,BACE1,BETA-SECRETASE INHIBITOR,BRD:BRD-A13964793-001-02-6,TC1,TC1
REP.PRIMARY,2.5,"CHRM1, CHRM3",CHOLINERGIC RECEPTOR ANTAGONIST,BRD:BRD-A14208071-004-19-8,OXYPHENONIUM,OXYPHENONIUM
REP.PRIMARY,2.5,"F10, TAAR1",TRACE AMINE ASSOCIATED RECEPTOR AGONIST,BRD:BRD-A14240607-003-26-1,OCTOPAMINE,OCTOPAMINE
REP.PRIMARY,2.5,SLC6A2,ADRENERGIC INHIBITOR,BRD:BRD-A14262390-065-01-8,GUANADREL,GUANADREL
REP.PRIMARY,2.5,,SODIUM/CALCIUM EXCHANGE INHIBITOR,BRD:BRD-A14316475-001-02-3,SN-6,SN-6
REP.PRIMARY,2.5,"GRIA1, GRIA2, GRIA3, GRIA4",GLUTAMATE RECEPTOR POSITIVE ALLOSTERIC MODULATOR,BRD:BRD-A14344385-001-03-2,IDRA-21,IDRA-21
REP.PRIMARY,2.5,"DRD2, HTR2A",DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-A14395271-074-17-8,MESORIDAZINE,MESORIDAZINE
REP.PRIMARY,2.5,"CHRNA3, CHRNA4, CHRNB2",ACETYLCHOLINE RECEPTOR AGONIST,BRD:BRD-A14574269-051-02-2,UB-165,UB-165
REP.PRIMARY,2.5,"AR, ESR1, PGR, SRD5A1",PROGESTERONE RECEPTOR AGONIST,BRD:BRD-A14886633-001-01-6,NORGESTREL,NORGESTREL
REP.PRIMARY,2.5,ABCB1,"MRP INHIBITOR, P GLYCOPROTEIN INHIBITOR",BRD:BRD-A14941520-051-01-0,DOFEQUIDAR,DOFEQUIDAR
REP.PRIMARY,2.5,SLC6A4,SEROTONIN RECEPTOR ANTAGONIST,BRD:BRD-A14966924-003-07-7,ALAPROCLATE,ALAPROCLATE
REP.PRIMARY,2.5,"P2RY13, P2RY2",ADENOSINE KINASE INHIBITOR,BRD:BRD-A15035311-001-01-8,DIADENOSINE-TETRAPHOSPHATE,DIADENOSINE-TETRAPHOSPHATE
REP.PRIMARY,2.5,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, SLC6A2, SLC6A4",SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITOR (SNRI),BRD:BRD-A15202882-003-02-7,MILNACIPRAN,MILNACIPRAN
