""	"chr10p"	"chr10q"	"chr11p"	"chr11q"	"chr12p"	"chr12q"	"chr13q"	"chr14q"	"chr15q"	"chr16p"	"chr16q"	"chr17p"	"chr17q"	"chr18p"	"chr18q"	"chr19p"	"chr19q"	"chr1p"	"chr1q"	"chr20p"	"chr20q"	"chr21q"	"chr22q"	"chr2p"	"chr2q"	"chr3p"	"chr3q"	"chr4p"	"chr4q"	"chr5p"	"chr5q"	"chr6p"	"chr6q"	"chr7p"	"chr7q"	"chr8p"	"chr8q"	"chr9p"	"chr9q"
"NCIH196_LUNG"	1	0	0	0	-1	0	0	1	0	0	0	-1	0	0	-1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
"PC3_PROSTATE"	-1	0	0	1	-1	0	0	0	-1	-1	-1	0	0	1	0	0	-1	0	0	1	1	1	-1	0	0	1	0	-1	-1	0	0	0	-1	1	1	-1	1	-1	-1
"PANC0327_PANCREAS"	-1	0	1	0	1	-1	1	0	0	-1	-1	-1	1	1	-1	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	-1	0	0	0
"CAPAN2_PANCREAS"	1	1	0	1	1	-1	1	0	0	0	0	-1	0	-1	-1	0	0	0	0	1	1	0	-1	0	0	0	0	1	1	1	0	-1	-1	1	0	-1	0	-1	0
"OVCAR8_OVARY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"EVSAT_BREAST"	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	0	-1	0	1	0	1	1	0	1	0	0	-1	0
"FU97_STOMACH"	0	0	0	0	1	0	0	0	0	0	1	0	0	-1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"KMRC1_KIDNEY"	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
"NUGC2_STOMACH"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	-1	1	0	1	-1	0	0	0	-1	0	0	-1	1	0	0	0	1	0	-1	-1	0	1
"RMUGS_OVARY"	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	1	-1	-1	1	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	1	-1	-1	0	-1	0
"HT1197_URINARY_TRACT"	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0
"SF295_CENTRAL_NERVOUS_SYSTEM"	-1	-1	0	0	0	0	0	-1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
"WM115_SKIN"	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	0
"NCIH2228_LUNG"	0	0	0	1	0	0	0	0	0	1	1	-1	0	-1	-1	0	0	0	1	0	0	0	-1	0	0	-1	0	0	0	1	1	0	0	1	-1	0	0	0	1
"NCIH209_LUNG"	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	1	-1	1	0	0	1	0	0
"OE33_OESOPHAGUS"	0	1	0	0	0	0	0	0	0	1	0	-1	0	-1	-1	0	0	0	0	1	1	-1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0
"OE19_OESOPHAGUS"	0	-1	0	0	0	0	1	0	0	-1	-1	0	0	0	-1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"CCK81_LARGE_INTESTINE"	0	0	0	-1	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1
"MDAMB453_BREAST"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0
"JHH1_LIVER"	0	0	0	0	1	0	0	0	-1	0	0	-1	0	-1	-1	-1	0	-1	0	1	1	-1	1	0	0	-1	1	-1	-1	0	0	0	-1	0	1	0	0	0	0
"HT1376_URINARY_TRACT"	0	0	1	0	-1	0	1	-1	-1	0	0	-1	0	0	0	0	-1	0	0	1	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	0	-1	0	0	1
"NCIH1963_LUNG"	0	-1	0	0	0	0	0	0	0	0	1	0	0	-1	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
"IGR37_SKIN"	-1	-1	0	0	0	-1	0	-1	1	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	-1	0	0	0	0	1	1	0	0	-1	0
"KMRC2_KIDNEY"	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	-1	0
"IM95_STOMACH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
"COLO849_SKIN"	0	-1	-1	-1	-1	-1	0	0	-1	0	-1	0	0	-1	-1	0	0	0	1	1	1	0	1	0	0	1	1	-1	-1	-1	-1	0	0	1	1	0	0	0	0
"SKHEP1_LIVER"	0	0	0	0	1	1	0	0	0	-1	-1	1	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	-1	1	1	0	0	-1	-1
"JHH2_LIVER"	0	0	0	-1	-1	-1	-1	1	0	0	-1	0	-1	-1	0	1	1	0	0	1	1	0	1	0	0	-1	0	-1	-1	0	0	0	0	1	1	0	1	-1	0
"JHH5_LIVER"	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	1	0	0	0	1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	0	-1	0	-1	0
"COLO679_SKIN"	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"VCAP_PROSTATE"	0	0	0	1	0	1	0	0	0	-1	-1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-1	1	1	0
"SUIT2_PANCREAS"	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0
"NCIH2444_LUNG"	1	0	0	0	1	0	0	1	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	-1	1	-1	-1	1	0	0	0	1	1	-1	1	0	0
"RL952_ENDOMETRIUM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"SQ1_LUNG"	1	0	-1	1	0	0	-1	0	-1	0	0	-1	1	0	-1	-1	0	0	1	0	0	0	-1	0	0	0	1	1	1	0	0	1	-1	1	0	-1	0	-1	-1
"HCC366_LUNG"	-1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	-1	0	0	0
"NCIH2170_LUNG"	0	-1	0	0	1	-1	1	0	-1	0	0	-1	0	0	0	-1	1	-1	1	1	1	-1	0	0	0	-1	-1	0	0	1	-1	0	0	1	1	0	0	0	-1
"NCIH647_LUNG"	0	0	1	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"M059K_CENTRAL_NERVOUS_SYSTEM"	-1	-1	1	0	-1	-1	1	1	0	1	-1	-1	-1	0	0	0	0	0	0	1	1	0	-1	-1	-1	0	0	-1	-1	1	1	1	1	1	0	-1	-1	0	0
"J82_URINARY_TRACT"	0	-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	0	0	0	0	-1	1	0	0	0	0	0	-1	1	0	1
"UACC62_SKIN"	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	1	0	-1	0	0	0	0	1	1	0	0	0	0
"SKLU1_LUNG"	0	-1	0	1	1	1	0	1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	1	-1	0	0	-1	1	1	0	1	0	0
"NCIH2141_LUNG"	-1	-1	0	1	1	1	1	1	-1	0	-1	-1	0	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0	-1	1	-1	0	0	0	0	0	1	1	0
"SW1710_URINARY_TRACT"	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	-1	-1	0	0	0	0	0	1	0	0	-1	0
"L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	-1	0	1	-1	0	1	-1
"TE441T_SOFT_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"COLO668_LUNG"	-1	-1	1	-1	0	1	1	1	0	0	0	-1	-1	1	1	-1	-1	1	0	0	0	1	1	0	0	0	0	0	0	1	-1	-1	-1	1	0	0	0	0	0
"SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	1	0
"NCIH1105_LUNG"	-1	-1	1	1	1	1	-1	1	-1	0	-1	1	0	-1	1	0	1	1	1	1	1	1	0	0	0	-1	1	-1	-1	0	-1	1	1	1	1	-1	1	0	0
"DMS454_LUNG"	-1	-1	0	1	0	1	0	0	0	0	0	-1	0	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	1	-1	-1	1	0	0	-1	0	0	0	1	0	0
"NCIH2081_LUNG"	-1	-1	0	0	1	1	-1	0	1	0	-1	-1	1	0	0	0	0	0	1	0	0	-1	-1	0	0	-1	1	1	-1	1	-1	0	-1	1	1	0	-1	1	0
"IGR1_SKIN"	-1	-1	0	-1	1	1	0	0	0	0	0	1	0	0	-1	0	0	0	0	1	1	-1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	-1
"NCIH1876_LUNG"	-1	-1	0	0	1	0	0	0	-1	-1	1	-1	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	-1	0	0	-1	0	-1	0	1	0
"MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
"NCIH841_LUNG"	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"DMS273_LUNG"	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	1	-1	-1	1	0	0	0	1	1	-1	-1	0	0
"TT_THYROID"	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	1	-1	-1
"LS513_LARGE_INTESTINE"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
"RD_SOFT_TISSUE"	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1
"WM983B_SKIN"	-1	-1	0	-1	0	0	0	0	1	-1	-1	0	0	0	0	-1	-1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	-1	0
"WM88_SKIN"	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0
"OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	1	0	0	0	0	0
"BICR31_UPPER_AERODIGESTIVE_TRACT"	0	0	0	0	-1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	1	-1	1	0	0	0	0	0	-1	0	-1	0
"MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	1	0	0	-1	0	0	-1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	1	-1	0	0	0	1	0	0	1	0
"CORL279_LUNG"	-1	-1	0	0	0	0	-1	1	-1	0	-1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	-1	1	0	-1	1	-1	0	0	1	1	1	1	0	-1
"BICR16_UPPER_AERODIGESTIVE_TRACT"	-1	-1	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	-1	-1	1	0	-1	1	0	0	0	1	0	-1	0	-1	1
"TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0
"UMUC1_URINARY_TRACT"	0	0	0	0	0	0	0	0	0	-1	1	-1	0	-1	0	0	0	-1	0	1	1	1	1	0	0	-1	0	0	-1	0	0	-1	-1	0	0	-1	1	0	0
"CHAGOK1_LUNG"	0	0	-1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	-1	-1	-1	0
"647V_URINARY_TRACT"	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
"MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	-1	0	0	1	1	0	0	0	0
"UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	1	1	1	1	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0
"NB1_AUTONOMIC_GANGLIA"	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0
"JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	1	0	-1	-1	0	0
"HCC827_LUNG"	0	-1	-1	0	1	0	-1	1	-1	0	0	1	0	-1	-1	-1	-1	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	0
"NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0
"GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
"COV362_OVARY"	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	-1	-1	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0
"NCIH2126_LUNG"	0	0	0	1	0	1	1	1	0	0	0	0	0	0	-1	0	0	0	0	1	1	0	0	0	0	-1	0	0	0	1	0	0	0	1	1	-1	1	-1	0
"LXF289_LUNG"	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	-1	0	0	-1	0	0	-1	0	0	0	0	0	0	-1	0	1	0	1	0	1	0	0	1	1	1
"NCIH1092_LUNG"	-1	-1	0	1	0	0	1	0	-1	0	0	-1	0	-1	1	0	-1	0	1	0	0	0	0	0	0	-1	0	0	0	0	-1	-1	-1	1	1	1	0	1	0
"HS888T_BONE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	-1	-1	0	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0
"MHHNB11_AUTONOMIC_GANGLIA"	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
"SW837_LARGE_INTESTINE"	0	0	0	1	0	0	-1	0	0	0	0	-1	0	-1	-1	-1	0	0	0	-1	1	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	-1	0	0	0
"JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
"NCIH1838_LUNG"	0	0	0	0	0	0	0	0	0	-1	-1	0	1	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	1	0	0	0	1	1	0	1	0	-1
"HCC1500_BREAST"	1	-1	1	0	0	1	-1	0	-1	0	0	-1	0	0	1	0	0	0	1	0	1	1	0	-1	0	-1	0	-1	-1	0	0	0	-1	0	1	-1	1	0	1
"HCC4006_LUNG"	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0	-1	0	0	0
"HCC2157_BREAST"	1	0	-1	0	-1	0	-1	-1	0	-1	-1	-1	0	-1	0	0	-1	0	1	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	-1	1	1	0
"HCC1419_BREAST"	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	-1	0
"NCIH1184_LUNG"	0	-1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"BT483_BREAST"	0	0	0	0	1	1	0	0	0	0	0	-1	0	-1	0	-1	0	0	1	1	1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	1	-1	1	-1	0
"UMUC3_URINARY_TRACT"	0	0	0	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	1	1	0
"OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	-1	0	0	0	0	1	0	0	0	0	-1	0	0	1	1	1	-1	1	1	1	-1	1	0	0	1	0	0	0	-1	-1	0	-1	0	0	0	0	0	0
"PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	-1
"G292CLONEA141B1_BONE"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0
"RCM1_LARGE_INTESTINE"	0	0	0	0	0	0	1	0	1	0	0	-1	0	-1	-1	-1	-1	0	0	-1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0
"CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DMS53_LUNG"	0	0	0	0	1	1	-1	-1	-1	-1	0	-1	0	1	0	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	1	-1	0	0	0	0	0	1	0	1	0	0
"DV90_LUNG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"RERFLCKJ_LUNG"	-1	0	0	0	1	0	-1	0	0	0	-1	1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	1	0	1	0	1	1	-1	0	-1	0
"NCIH1944_LUNG"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
"NCIH660_PROSTATE"	1	0	0	0	-1	0	-1	1	0	0	-1	-1	0	1	1	0	0	0	1	1	1	0	-1	0	0	0	0	0	-1	1	0	0	0	1	0	-1	1	0	0
"NCIH1755_LUNG"	1	1	0	0	0	0	0	0	-1	0	0	-1	0	0	0	-1	1	0	0	1	1	-1	0	0	0	-1	-1	0	0	0	0	0	-1	1	1	-1	0	-1	0
"143B_BONE"	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"NCIH1373_LUNG"	-1	0	0	0	0	0	-1	0	0	0	0	-1	1	-1	-1	-1	-1	0	0	-1	-1	-1	0	1	0	-1	1	1	0	1	0	0	-1	0	0	-1	1	0	0
"NCIH1930_LUNG"	-1	-1	1	0	1	0	1	0	-1	0	-1	0	0	-1	1	-1	1	0	0	0	1	0	0	0	0	-1	0	0	0	1	-1	0	0	0	1	-1	1	1	0
"SW1783_CENTRAL_NERVOUS_SYSTEM"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	1	1	0	0	0	0
